GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
01238,2733.0,23.0,2731.0,511.0,18.711094837056024,4
01239,653.0,15.0,653.0,98.0,15.007656967840735,2
01240,630.0,15.0,630.0,74.0,11.746031746031745,2
01241,1383.0,15.0,1323.0,264.0,19.954648526077097,3
01242,133.0,11.0,133.0,44.0,33.08270676691729,4
01243,1312.0,15.0,1312.0,144.0,10.975609756097562,2
01244,8198.0,29.0,8020.0,3464.0,43.19201995012469,13
01245,951.0,15.0,951.0,160.0,16.824395373291274,3
01246,2179.0,19.0,2179.0,621.0,28.49931161083066,5
01247,297.0,11.0,297.0,76.0,25.589225589225588,3
01248,2309.0,19.0,2309.0,406.0,17.58336942399307,3
01249,10450.0,33.0,9942.0,4099.0,41.229128947897806,14
01250,2010.0,19.0,1886.0,325.0,17.2322375397667,3
01252,824.0,15.0,824.0,126.0,15.291262135922329,2
01254,2164.0,19.0,2160.0,337.0,15.601851851851853,3
01255,684.0,15.0,684.0,168.0,24.561403508771928,4
01257,348.0,11.0,348.0,60.0,17.24137931034483,2
01258,1202.0,15.0,1202.0,183.0,15.224625623960067,2
01259,715.0,15.0,715.0,141.0,19.72027972027972,3
01260,329.0,11.0,329.0,49.0,14.893617021276595,2
01261,673.0,15.0,673.0,105.0,15.601783060921248,2
01262,6879.0,29.0,6719.0,2897.0,43.11653519869028,13
01263,3798.0,27.0,3733.0,948.0,25.395124564693276,7
01264,1008.0,15.0,1008.0,207.0,20.535714285714285,3
01265,3584.0,27.0,3584.0,1904.0,53.125,14
01266,2661.0,23.0,2532.0,1033.0,40.79778830963665,9
01267,973.0,15.0,973.0,177.0,18.19116135662898,3
01268,239.0,11.0,239.0,33.0,13.807531380753138,2
01269,3431.0,23.0,3267.0,2075.0,63.51392715029078,15
01272,1540.0,19.0,1511.0,412.0,27.26671078755791,5
01273,1798.0,19.0,1794.0,376.0,20.958751393534,4
01274,623.0,15.0,613.0,242.0,39.47797716150082,6
01275,2479.0,19.0,2479.0,519.0,20.935861234368698,4
01276,1648.0,19.0,1637.0,172.0,10.507025045815515,2
01277,119.0,11.0,119.0,37.0,31.092436974789916,3
01279,72.0,7.0,72.0,13.0,18.055555555555554,1
01280,146.0,11.0,146.0,17.0,11.643835616438356,1
01281,4903.0,27.0,4799.0,2087.0,43.48822671389873,12
01282,258.0,11.0,258.0,64.0,24.8062015503876,3
01283,22378.0,35.0,22189.0,14030.0,63.22952814457614,22
01284,721.0,15.0,716.0,158.0,22.067039106145252,3
01285,1317.0,15.0,1317.0,278.0,21.108580106302202,3
01286,943.0,15.0,943.0,78.0,8.271474019088016,1
01288,2900.0,23.0,2891.0,749.0,25.907990314769975,6
01289,6437.0,29.0,6110.0,1920.0,31.42389525368249,9
01290,1382.0,15.0,1382.0,379.0,27.424023154848047,4
01291,861.0,15.0,861.0,134.0,15.563298490127758,2
01293,150.0,11.0,150.0,6.0,4.0,0
01294,918.0,15.0,877.0,151.0,17.217787913340935,3
01295,656.0,15.0,656.0,148.0,22.5609756097561,3
01296,400.0,11.0,400.0,75.0,18.75,2
01297,922.0,15.0,922.0,109.0,11.822125813449023,2
01298,166.0,11.0,166.0,15.0,9.036144578313253,1
01299,569.0,15.0,537.0,79.0,14.711359404096836,2
01301,2694.0,23.0,2694.0,592.0,21.974758723088346,5
01302,167.0,11.0,167.0,20.0,11.976047904191617,1
01303,1766.0,19.0,1766.0,627.0,35.503963759909404,7
01304,2862.0,23.0,2783.0,904.0,32.482932087675174,7
01305,2184.0,19.0,1985.0,1089.0,54.86146095717884,10
