TYPECOM,COM,NCC,NCCENR,LIBELLE,COMPARENT
COM,67153,GEISWILLER ZOEBERSDORF,Geiswiller-Zœbersdorf,Geiswiller-Zœbersdorf,
COMD,67153,GEISWILLER,Geiswiller,Geiswiller,67153.0
COM,67154,GERSTHEIM,Gerstheim,Gerstheim,
COM,67155,GERTWILLER,Gertwiller,Gertwiller,
COM,67156,GEUDERTHEIM,Geudertheim,Geudertheim,
COMA,67157,GIMBRETT,Gimbrett,Gimbrett,67034.0
COMD,67158,GINGSHEIM,Gingsheim,Gingsheim,67539.0
COM,67159,GOERLINGEN,Gœrlingen,Gœrlingen,
COM,67160,GOERSDORF,Gœrsdorf,Gœrsdorf,
COM,67161,GOTTENHOUSE,Gottenhouse,Gottenhouse,
COM,67162,GOTTESHEIM,Gottesheim,Gottesheim,
COM,67163,GOUGENHEIM,Gougenheim,Gougenheim,
COM,67164,GOXWILLER,Goxwiller,Goxwiller,
COM,67165,GRANDFONTAINE,Grandfontaine,Grandfontaine,
COM,67166,GRASSENDORF,Grassendorf,Grassendorf,
COM,67167,GRENDELBRUCH,Grendelbruch,Grendelbruch,
COM,67168,GRESSWILLER,Gresswiller,Gresswiller,
COM,67169,GRIES,Gries,Gries,
COMA,67170,GRIESBACH,Griesbach,Griesbach,67176.0
COMA,67171,GRIESBACH LE BASTBERG,Griesbach-le-Bastberg,Griesbach-le-Bastberg,67061.0
COM,67172,GRIESHEIM PRES MOLSHEIM,Griesheim-près-Molsheim,Griesheim-près-Molsheim,
COM,67173,GRIESHEIM SUR SOUFFEL,Griesheim-sur-Souffel,Griesheim-sur-Souffel,
COM,67174,GUMBRECHTSHOFFEN,Gumbrechtshoffen,Gumbrechtshoffen,
COM,67176,GUNDERSHOFFEN,Gundershoffen,Gundershoffen,
COM,67177,GUNSTETT,Gunstett,Gunstett,
COM,67178,GUNGWILLER,Gungwiller,Gungwiller,
COM,67179,HAEGEN,Haegen,Haegen,
COM,67180,HAGUENAU,Haguenau,Haguenau,
COM,67181,HANDSCHUHEIM,Handschuheim,Handschuheim,
COM,67182,HANGENBIETEN,Hangenbieten,Hangenbieten,
COM,67183,HARSKIRCHEN,Harskirchen,Harskirchen,
COM,67184,HATTEN,Hatten,Hatten,
COM,67185,HATTMATT,Hattmatt,Hattmatt,
COM,67186,HEGENEY,Hegeney,Hegeney,
COM,67187,HEIDOLSHEIM,Heidolsheim,Heidolsheim,
COM,67188,HEILIGENBERG,Heiligenberg,Heiligenberg,
COM,67189,HEILIGENSTEIN,Heiligenstein,Heiligenstein,
COM,67190,HENGWILLER,Hengwiller,Hengwiller,
COM,67191,HERBITZHEIM,Herbitzheim,Herbitzheim,
COM,67192,HERBSHEIM,Herbsheim,Herbsheim,
COMA,67193,HERMERSWILLER,Hermerswiller,Hermerswiller,67206.0
COM,67194,HERRLISHEIM,Herrlisheim,Herrlisheim,
COM,67195,HESSENHEIM,Hessenheim,Hessenheim,
COM,67196,HILSENHEIM,Hilsenheim,Hilsenheim,
COM,67197,HINDISHEIM,Hindisheim,Hindisheim,
COM,67198,HINSBOURG,Hinsbourg,Hinsbourg,
COM,67199,HINSINGEN,Hinsingen,Hinsingen,
COM,67200,HIPSHEIM,Hipsheim,Hipsheim,
COM,67201,HIRSCHLAND,Hirschland,Hirschland,
COM,67202,HOCHFELDEN,Hochfelden,Hochfelden,
COM,67203,HOCHSTETT,Hochstett,Hochstett,
COM,67204,HOENHEIM,Hœnheim,Hœnheim,
COM,67205,HOERDT,Hœrdt,Hœrdt,
COM,67206,HOFFEN,Hoffen,Hoffen,
COMD,67207,HOHATZENHEIM,Hohatzenheim,Hohatzenheim,67539.0
COM,67208,HOHENGOEFT,Hohengœft,Hohengœft,
COM,67209,HOHFRANKENHEIM,Hohfrankenheim,Hohfrankenheim,
COM,67210,HOHWALD,Hohwald,Le Hohwald,
COMA,67211,HOHWILLER,Hohwiller,Hohwiller,67474.0
COM,67212,HOLTZHEIM,Holtzheim,Holtzheim,
COM,67213,HUNSPACH,Hunspach,Hunspach,
COM,67214,HURTIGHEIM,Hurtigheim,Hurtigheim,
COM,67215,HUTTENDORF,Huttendorf,Huttendorf,
COM,67216,HUTTENHEIM,Huttenheim,Huttenheim,
COM,67217,ICHTRATZHEIM,Ichtratzheim,Ichtratzheim,
COM,67218,ILLKIRCH GRAFFENSTADEN,Illkirch-Graffenstaden,Illkirch-Graffenstaden,
COMA,67219,IMBSHEIM,Imbsheim,Imbsheim,67061.0
COM,67220,INGENHEIM,Ingenheim,Ingenheim,
COM,67221,INGOLSHEIM,Ingolsheim,Ingolsheim,
COM,67222,INGWILLER,Ingwiller,Ingwiller,
COM,67223,INNENHEIM,Innenheim,Innenheim,
COMA,67224,IRMSTETT,Irmstett,Irmstett,67442.0
COM,67225,ISSENHAUSEN,Issenhausen,Issenhausen,
COM,67226,ITTENHEIM,Ittenheim,Ittenheim,
COM,67227,ITTERSWILLER,Itterswiller,Itterswiller,
COM,67228,NEUGARTHEIM ITTLENHEIM,Neugartheim-Ittlenheim,Neugartheim-Ittlenheim,
COM,67229,JETTERSWILLER,Jetterswiller,Jetterswiller,
COM,67230,KALTENHOUSE,Kaltenhouse,Kaltenhouse,
COM,67231,KAUFFENHEIM,Kauffenheim,Kauffenheim,
COM,67232,KEFFENACH,Keffenach,Keffenach,
COM,67233,KERTZFELD,Kertzfeld,Kertzfeld,
COM,67234,KESKASTEL,Keskastel,Keskastel,
COM,67235,KESSELDORF,Kesseldorf,Kesseldorf,
COM,67236,KIENHEIM,Kienheim,Kienheim,
COM,67237,KILSTETT,Kilstett,Kilstett,
COM,67238,KINDWILLER,Kindwiller,Kindwiller,
COM,67239,KINTZHEIM,Kintzheim,Kintzheim,
COM,67240,KIRCHHEIM,Kirchheim,Kirchheim,
