GEO,OBS_VALUE,nombre_conseillers
14055,387,11
14497,341,11
02089,1141,15
02097,270,11
02081,425,11
02498,766,15
01402,659,15
11112,81,7
12072,217,11
11039,47,7
11085,1012,15
10370,259,11
09129,113,11
07212,211,11
07328,628,15
07278,405,11
03085,634,15
02786,136,11
02439,1234,15
04024,122,11
03015,339,11
06157,19856,33
04128,220,11
04179,107,11
07121,188,11
01189,1123,15
02275,313,11
02306,521,15
01319,467,11
02427,139,11
14452,607,15
14557,1103,15
14467,317,11
11094,30,7
11399,109,11
11191,141,11
11396,609,15
08450,225,11
07253,169,11
02800,314,11
02724,58,7
02722,28667,35
02578,82,7
01138,3416,23
09225,16512,33
10046,98,7
10357,3214,23
01305,2184,19
01447,1391,15
02290,2698,23
02228,353,11
01392,645,15
02428,70,7
01337,1351,15
05052,845,15
07002,553,15
07100,511,15
05071,371,11
06033,13729,33
06011,3835,27
13015,15367,33
14057,1474,15
14446,90,7
13058,2396,19
14278,1237,15
14591,697,15
10005,244,11
09256,57,7
10236,58,7
10324,170,11
09149,201,11
07316,2298,19
07286,515,15
08397,55,7
07241,704,15
07332,438,11
11030,111,11
07118,144,11
05128,708,15
07141,236,11
05140,335,11
07038,45,7
02135,1125,15
02418,224,11
02140,436,11
01066,97,7
03163,696,15
02788,467,11
11276,528,15
10431,106,11
14409,2222,19
14536,2535,23
14251,570,15
14338,1657,19
10329,536,15
10363,551,15
09265,2864,23
10359,517,15
10124,274,11
09177,272,11
09170,240,11
08381,813,15
08242,410,11
08494,447,11
07261,1617,19
08192,94,7
01203,1292,15
01129,316,11
01255,684,15
02481,450,11
02433,218,11
02129,19,7
05115,467,11
05145,1090,15
06114,5877,29
05022,236,11
07014,361,11
11254,2116,19
11135,13,7
11216,362,11
07215,203,11
08444,131,11
09052,165,11
08422,137,11
08473,298,11
14457,129,11
14514,5116,29
14033,224,11
02243,3041,23
02179,379,11
01276,1648,19
02564,840,15
01408,664,15
02088,80,7
02379,194,11
03184,496,11
04020,124,11
09338,154,11
10273,22,7
10378,68,7
07030,202,11
07060,278,11
12103,281,11
11314,86,7
11099,2549,23
11352,53,7
01143,10300,33
14649,442,11
12272,517,15
12292,419,11
07307,444,11
09064,41,7
08164,342,11
02192,371,11
02015,78,7
10406,1888,19
10207,133,11
10028,112,11
10264,104,11
09155,49,7
12054,355,11
11207,253,11
11240,537,15
11281,1264,15
12025,990,15
11162,51,7
11255,1477,15
11335,40,7
02694,598,15
03276,105,11
03049,428,11
07183,537,15
04120,98,7
06081,98,7
06159,5012,29
05060,175,11
14159,234,11
14299,819,15
14406,1124,15
12251,313,11
13023,4847,27
10125,307,11
10199,350,11
10275,589,15
10037,419,11
02258,375,11
01318,760,15
02032,239,11
02451,122,11
02200,99,7
01403,1329,15
08089,381,11
09023,115,11
08355,377,11
09037,43,7
08433,56,7
08206,360,11
11120,526,15
12031,325,11
12158,323,11
12061,567,15
02587,351,11
04032,134,11
02714,347,11
02584,115,11
03143,91,7
03224,284,11
12232,284,11
04033,796,15
04175,86,7
05010,802,15
06009,133,11
07144,45,7
01049,3401,23
01192,2262,19
07339,2048,19
08117,162,11
08402,841,15
08490,3862,27
07285,110,11
02188,141,11
02125,179,11
02062,133,11
02264,722,15
10354,140,11
10033,4743,27
10379,441,11
14270,367,11
12256,361,11
14504,806,15
12293,129,11
03277,247,11
03038,529,15
03309,476,11
08132,193,11
08070,397,11
11074,317,11
11339,511,15
12200,1045,15
11148,574,15
12160,329,11
12202,24136,35
12026,1049,15
07115,684,15
05077,307,11
14625,767,15
14469,95,7
01116,489,11
01444,1200,15
02401,184,11
02115,189,11
02507,30,7
02271,132,11
02210,358,11
02164,324,11
02799,378,11
03133,521,15
02636,193,11
03116,191,11
03154,269,11
08020,59,7
08196,89,7
07237,806,15
09242,49,7
10314,415,11
11223,23,7
11439,425,11
11020,33,7
12227,181,11
04186,89,7
06005,180,11
03050,172,11
02566,1113,15
02704,207,11
02818,1074,15
14272,107,11
14606,239,11
13111,1058,15
07211,464,11
07282,443,11
07305,406,11
01338,1232,15
01075,1436,15
01167,685,15
02002,586,15
02523,70,7
02183,191,11
01322,5228,29
11036,162,11
11315,1966,19
11127,69,7
11289,967,15
07163,86,7
07063,413,11
07034,256,11
04092,126,11
05124,473,11
10166,398,11
10334,591,15
14623,2511,23
14136,90,7
14182,391,11
14651,291,11
13072,3692,27
01035,306,11
08076,971,15
08271,105,11
08052,68,7
07338,1985,19
02685,116,11
01429,725,15
01285,1317,15
02013,386,11
02356,230,11
02369,243,11
11197,621,15
11392,284,11
11361,832,15
11029,60,7
11386,436,11
12009,44,7
12189,359,11
09264,1288,15
09159,84,7
10130,99,7
10261,944,15
10174,171,11
10402,242,11
10237,583,15
10230,663,15
09218,101,11
01002,273,11
05093,360,11
06154,517,15
07059,232,11
07089,1874,19
07147,257,11
05011,418,11
06128,3190,23
14374,141,11
14130,185,11
14344,385,11
14524,311,11
14059,389,11
08408,536,15
08429,527,15
08322,329,11
09049,174,11
07331,3479,23
08320,531,15
08090,2745,23
08452,248,11
02053,590,15
03157,1046,15
10263,469,11
09102,179,11
10318,158,11
02372,341,11
01422,1389,15
02508,145,11
02362,239,11
01411,263,11
02482,58,7
01351,1625,19
14023,71,7
14227,221,11
14400,200,11
14389,251,11
14053,167,11
14027,4664,27
12023,110,11
12092,524,15
11071,216,11
11416,270,11
11084,1013,15
08159,109,11
07330,2469,19
08040,859,15
08396,124,11
07093,269,11
05182,31,7
07112,282,11
09290,170,11
10108,90,7
10042,196,11
10168,80,7
09137,197,11
02635,147,11
03067,132,11
03249,157,11
03191,267,11
02311,121,11
02289,412,11
02049,746,15
01291,861,15
02461,342,11
02354,80,7
09070,330,11
08218,1253,15
07293,989,15
01113,815,15
01227,651,15
07177,836,15
04195,613,15
06021,728,15
14284,154,11
14171,143,11
12231,665,15
14064,212,11
10266,44,7
10369,219,11
10303,68,7
09116,362,11
10185,209,11
02242,607,15
02201,466,11
02320,230,11
01268,239,11
02048,128,11
12042,186,11
11435,163,11
11096,33,7
11169,94,7
11288,1598,19
07103,305,11
08487,1849,19
08438,101,11
08331,670,15
08478,238,11
03144,199,11
02782,215,11
04039,1454,15
02798,1199,15
14520,849,15
13025,2331,19
14516,2076,19
14465,516,15
14145,560,15
12266,540,15
01106,175,11
01111,136,11
04065,646,15
05172,301,11
04088,5142,29
07074,156,11
07087,458,11
05147,379,11
02368,558,15
01299,569,15
02005,405,11
02222,39,7
10291,183,11
10009,88,7
09138,189,11
10154,70,7
08244,76,7
08024,1081,15
08154,86,7
09019,555,15
07346,3659,27
07349,4762,27
08395,148,11
11126,497,11
11203,10855,33
05129,158,11
04140,128,11
14515,1888,19
04009,14,7
02661,228,11
01096,1057,15
06025,1432,15
13113,8420,29
13057,537,15
09145,253,11
09132,235,11
10105,23,7
10213,163,11
01248,2309,19
02010,166,11
02227,123,11
02405,514,15
01347,2176,19
12037,612,15
08062,128,11
09090,45,7
08259,66,7
10164,704,15
02824,383,11
03148,354,11
02525,545,15
04046,689,15
02655,152,11
03062,340,11
08416,182,11
07322,1208,15
08138,249,11
07202,166,11
08363,5795,29
08437,179,11
03273,483,11
02688,41,7
02659,507,15
01349,524,15
03109,797,15
07082,198,11
05024,209,11
05183,1433,15
06051,98,7
10021,156,11
09312,3268,23
10023,209,11
14355,1211,15
14650,181,11
12262,711,15
14652,73,7
14326,860,15
11054,268,11
12138,1714,19
10424,64,7
12049,452,11
01321,905,15
02294,207,11
03217,753,15
04004,539,15
03228,56,7
02831,359,11
01067,263,11
01077,185,11
01114,676,15
08113,486,11
07227,1430,15
08174,2277,19
08061,37,7
10035,741,15
10003,3336,23
09122,9731,29
10305,90,7
07133,272,11
06097,339,11
07073,522,15
06069,48669,43
05119,663,15
04173,1030,15
14547,151,11
14200,2272,19
11413,510,15
11258,2079,19
11430,1424,15
12102,2376,19
12101,1081,15
12208,7924,29
02598,683,15
03106,1317,15
03220,714,15
01356,214,11
02415,156,11
01405,1287,15
08405,240,11
08084,276,11
09306,3060,23
10169,220,11
09165,233,11
09319,119,11
05031,179,11
05114,243,11
06162,741,15
04127,333,11
13056,48818,43
14181,5273,29
14358,87,7
01040,481,11
11213,52,7
12119,1215,15
11076,12212,33
08300,11,7
07334,2680,23
08377,151,11
08220,320,11
02806,285,11
04021,142,11
02773,44,7
03235,956,15
03122,236,11
02650,364,11
04008,1013,15
02544,607,15
