GEO,PCS,OBS_VALUE
67548,6,65
67521,2,25
69083,5,121
69044,4,659
69035,7,71
69121,5,362
69052,6,292
69071,6,50
67397,3,125
67478,7,592
67468,3,35
67420,2,16
68082,6,933
68049,6,78
69018,6,298
69029,9,7259
68354,9,41
68373,2,10
69022,7,90
68211,9,25
68209,6,83
68134,5,202
68153,1,10
69108,7,192
69090,4,128
69099,1,26
69034,7,10270
69062,6,117
69086,9,189
69131,1,31
69214,1,11
69180,4,20
69207,4,429
69218,3,76
68255,3,121
68229,3,25
68279,1,6
67532,9,71
67529,3,255
67501,5,55
67502,2,10
68008,9,69
67397,9,233
67411,9,465
67463,2,64
67396,6,35
68106,3,16
68069,7,264
68036,3,145
68098,5,52
69038,9,95
69014,7,275
68356,5,163
69008,4,100
69021,4,335
69029,3,4578
68345,2,15
68198,6,30
68196,4,52
68201,1,5
68140,7,205
68270,5,492
68244,2,15
68241,1,6
68271,4,1497
68299,6,17
68280,2,15
68239,6,34
69218,7,305
69196,9,48
69214,9,113
69170,4,176
67544,6,1013
67524,4,53
67510,7,127
68015,1,10
67482,4,34365
67451,9,78
67441,7,63
67442,7,311
68321,3,176
68239,7,115
68240,2,42
68283,5,112
68226,6,586
69036,7,214
69099,2,66
69130,2,6
69044,2,191
69061,1,6
68348,7,563
68374,7,2163
68357,3,66
68324,3,60
69016,6,6
68084,5,160
68071,2,18
68105,4,48
68081,5,78
68091,4,388
68135,9,295
68132,9,44
68192,2,21
68135,1,17
68140,2,33
69236,7,121
69220,2,62
69190,7,452
69166,7,46
67547,4,229
68014,5,76
67554,9,62
67504,9,80
67466,4,35
67467,4,20
67417,3,65
67464,3,42
67435,9,75
67404,5,80
67427,4,71
68224,6,13829
68226,3,201
68298,2,114
68290,4,134
68251,3,85
68221,3,50
68085,3,49
68276,7,52
68107,5,52
68244,6,58
69230,7,100
69207,6,237
67470,6,5
68142,7,107
69216,3,94
69078,6,90
69074,3,155
69059,2,107
69083,1,6
69060,6,84
68022,4,216
68002,3,24
68004,4,650
67523,4,321
68255,1,31
68110,9,59
68077,9,44
68080,2,11
68364,2,45
68322,5,134
69200,1,15
67422,5,50
67416,5,65
67397,1,10
67400,2,16
67484,1,10
69076,5,230
69125,5,71
69053,6,59
69119,4,147
68175,1,25
68160,4,65
68017,9,54
67498,4,96
68011,6,137
69026,5,57
69014,4,148
68371,9,21
69212,3,63
69174,1,21
69171,5,275
69164,4,36
69217,6,76
68267,4,325
68280,9,39
68248,7,162
68104,6,85
68061,9,134
68030,5,41
68054,9,47
68036,9,251
68038,2,28
68093,7,327
67453,4,137
67450,4,94
67483,5,29
69133,4,646
69235,1,6
69189,9,185
69055,3,237
69115,1,15
69083,3,169
69088,6,461
69034,9,4694
69082,7,64
69066,4,290
68238,1,5
68257,6,230
68271,2,331
68322,9,134
68308,2,5
68015,4,359
67543,9,213
68183,9,14
68191,3,45
68162,3,365
69007,9,272
68336,3,30
68060,7,345
68085,5,49
68068,9,287
68120,5,176
68097,2,40
68111,5,96
68062,7,462
68084,7,403
69202,4,2498
69216,9,20
69169,3,54
67432,7,166
67449,3,125
67440,4,87
67485,1,6
68309,5,686
68295,1,16
68245,4,49
68253,2,58
68277,6,95
68030,9,46
68042,1,6
68072,1,6
69086,7,548
69114,7,848
69038,4,120
69045,5,167
69097,4,97
68027,5,47
67520,2,100
67519,6,390
67510,9,74
68006,3,102
67492,5,53
68367,3,90
69003,5,259
68375,4,1380
68162,7,1436
68205,1,5
68157,4,239
68189,5,99
69205,4,826
69176,3,728
69172,7,172
69169,7,205
69197,3,92
68088,5,144
68088,3,98
68110,2,16
68301,2,31
68283,9,87
68248,3,55
68280,4,70
68296,5,124
68371,3,6
68377,4,142
68334,7,1967
69026,2,37
69004,5,52
68343,7,506
69056,6,156
69039,4,95
69099,6,162
67482,5,34834
67422,3,41
68222,5,174
68178,7,291
68162,9,301
68163,5,869
68172,7,523
68187,5,32
67490,4,107
67500,2,54
68023,3,26
69207,7,579
69168,3,220
69235,2,82
69229,7,185
68043,4,572
68052,7,38
68122,2,44
68094,4,130
68095,5,122
68284,3,11
68307,3,5
67433,7,225
67461,5,46
67460,9,148
68352,5,361
69009,4,1051
68323,3,150
68350,6,30
69013,3,353
69050,6,106
69088,5,876
69043,7,2066
69103,2,36
69070,3,86
69087,4,393
68002,4,47
67553,7,68
67515,9,48
67522,6,108
68182,7,297
68193,9,100
68199,3,10
68131,6,40
68201,4,415
68088,6,108
68106,9,36
68083,7,114
68072,9,141
69135,5,174
69200,6,227
69148,7,549
68271,7,3551
68227,6,161
68232,5,72
68237,7,203
67476,7,232
67435,3,55
67440,3,15
67415,4,79
67477,7,144
69022,4,99
68373,4,41
68025,3,6
68017,3,55
67520,6,797
69107,6,115
69042,3,29
69116,2,288
69117,2,153
69069,3,1510
69066,2,142
69068,3,446
68034,3,30
68123,3,62
68088,2,16
68038,1,11
68067,7,58
68072,4,217
68093,9,91
68039,5,81
68223,7,227
68156,9,349
68151,5,108
68152,7,602
68135,6,401
68289,4,366
68296,2,16
68280,7,88
68282,4,31
69151,4,190
69190,3,356
69153,7,186
69193,6,62
69202,3,3211
67443,2,6
67405,6,384
67470,5,25
67417,4,41
67474,6,503
68028,4,313
67517,6,72
67539,1,22
67490,1,6
68017,6,97
69028,2,332
69072,3,1503
69075,9,16
69106,2,85
69059,6,83
69107,3,62
69127,5,338
69052,3,574
68287,2,110
68290,2,28
68071,4,33
68087,9,46
68085,9,35
68064,6,162
68162,6,404
68221,4,110
68204,5,125
67521,6,40
68026,9,95
68001,6,163
68026,1,45
67530,1,11
68018,2,16
67407,7,419
67460,2,44
67486,6,311
67476,4,91
69017,4,107
68334,2,285
68331,4,288
68381,2,35
68385,3,82
68354,2,20
69212,5,33
69140,1,21
69136,4,466
68120,7,229
68107,3,20
68056,7,1882
68101,5,97
69040,4,844
69044,5,453
69098,9,48
68146,3,174
68242,1,21
68303,6,64
68249,6,350
68289,3,176
68259,4,87
67538,2,40
67519,2,235
68340,4,62
68366,2,10
68326,1,10
68358,1,11
68357,4,81
68377,9,66
67385,7,78
67480,6,240
67433,2,46
67423,7,121
68103,5,31
68076,5,146
68115,5,161
68079,3,10
68065,3,39
68089,6,220
68109,4,89
68195,3,357
68180,4,178
68197,3,74
69229,5,125
69198,2,21
69231,5,338
69149,1,28
68266,5,307
68297,9,3561
69020,4,101
69028,7,1374
69007,1,60
69010,7,1303
68332,2,21
67531,7,74
67495,5,416
67548,9,55
69055,4,271
69077,3,61
69082,2,17
69058,2,10
67452,4,305
67426,5,30
67460,7,399
68113,9,109
68078,5,189
68065,5,73
68083,4,62
68193,6,139
68129,7,471
68128,4,84
69161,2,11
69155,5,173
69220,5,252
69171,7,465
68335,3,27
69017,1,21
69005,1,9
68379,3,62
68309,6,531
68250,1,31
68260,1,16
68290,9,125
67476,9,76
67425,2,16
67466,7,106
67456,7,73
67535,3,83
68004,2,119
67557,6,93
68072,6,94
68096,5,47
68122,3,38
68118,3,409
69115,5,533
69125,6,39
69054,7,93
69107,1,16
69047,5,94
68212,2,21
68219,4,167
68217,9,138
68163,4,716
68139,7,255
68184,9,15
68135,3,212
68165,4,10
68158,4,69
68228,7,83
68230,6,134
68254,6,111
69170,7,246
69199,1,5
69131,5,415
69205,6,206
69164,5,35
69137,2,10
69169,2,45
68359,7,448
68356,1,10
68347,9,106
68325,2,15
67433,4,245
68200,5,97
68143,2,57
68020,1,30
67543,2,40
67550,2,5
67548,2,40
68013,5,122
69063,2,254
69086,2,80
69102,7,105
69053,7,128
69058,6,90
68087,5,67
68061,2,11
68120,9,142
68061,6,103
68124,7,93
68304,9,134
67455,7,168
67422,4,87
67422,7,148
67386,2,5
67459,4,123
68343,2,65
68347,2,21
69201,6,156
69201,1,6
68137,5,71
68145,3,529
67493,6,49
67494,5,64
67500,4,214
67551,7,1033
67514,9,77
69114,5,372
69052,9,334
68265,4,183
68306,5,62
68299,5,43
68050,1,11
68050,2,11
68102,3,44
68095,9,103
67471,9,801
67444,7,45
67471,2,271
67461,9,31
67464,2,27
69134,1,34
69218,5,126
69002,4,16
68356,9,50
69012,1,28
68372,7,588
69031,7,193
67497,5,56
68014,4,48
67535,5,139
68010,7,232
69065,3,75
69075,6,16
69104,1,30
68292,2,115
68263,9,34
68148,9,37
68159,6,113
67485,2,45
67480,5,225
67434,9,371
67408,9,123
67430,5,41
68032,9,69
68069,6,228
68052,6,48
68083,3,52
68041,6,259
69149,7,6845
69133,6,217
69201,2,26
69180,2,20
67547,3,90
67511,5,111
67543,3,55
68026,7,402
67523,6,410
67554,5,92
68355,4,201
68340,7,71
68336,7,119
69005,5,76
68333,3,10
68337,4,113
69040,9,667
69085,5,135
67456,6,64
67384,5,19
67470,4,29
67412,2,25
67478,5,321
67445,1,20
67411,5,585
68253,4,278
68227,2,21
68283,4,127
68146,4,300
68187,3,32
68136,4,58
68147,7,157
68214,6,62
68117,9,66
68078,1,72
68063,9,1671
68080,6,31
67498,6,121
67521,9,21
67513,5,11
67555,3,16
67509,9,49
67538,5,184
69162,7,311
69205,7,998
69204,2,641
69194,7,1887
69235,3,217
67417,1,5
67465,5,316
67389,2,121
68378,1,10
68374,4,1124
68352,7,522
68365,6,131
68347,7,161
69020,3,86
69043,2,349
69091,4,2088
69060,5,87
69122,6,90
68316,6,66
67552,4,21
68021,7,692
67551,1,5
68020,6,194
68209,9,70
68136,5,35
68222,3,77
67472,5,595
67401,7,66
69154,5,222
69153,9,139
68087,2,6
68076,4,172
68039,7,137
68098,6,125
69031,6,156
68382,3,41
69120,4,81
69090,6,52
68018,6,81
67497,9,36
67530,7,122
67492,3,67
67513,3,6
68153,5,80
68200,4,82
68298,6,688
68294,7,505
68259,5,66
68303,4,39
68232,7,121
68244,3,20
68277,5,135
69163,3,550
69161,3,16
69172,5,49
67426,7,97
67453,9,53
67395,5,40
67420,7,341
69069,2,413
69095,3,46
69053,1,31
69113,4,98
68208,9,45
68181,7,51
68156,4,408
68186,3,41
68192,9,31
68378,6,79
68074,5,51
68038,3,114
68051,7,229
68046,7,126
68036,6,379
68062,2,50
68126,9,310
68041,5,339
69141,2,213
69234,7,310
69202,9,2508
68285,2,6
68307,6,126
68245,7,121
68255,4,195
68274,2,11
67537,9,49
67553,9,20
68006,4,239
67527,7,74
67412,9,115
67483,6,29
67487,2,50
67414,7,433
67412,5,120
67442,9,97
69062,5,102
69076,2,121
69046,7,1187
69120,1,25
68201,3,154
68187,9,36
68165,9,29
68197,6,54
68221,9,70
68209,7,188
68313,7,144
68304,7,468
68323,4,132
69020,6,46
68372,3,70
68325,1,10
69217,9,61
69135,3,67
69203,5,95
69215,9,73
69151,1,36
69181,9,42
69191,5,425
68083,9,37
68101,3,62
68105,3,20
67492,6,52
67529,9,303
67536,5,6
67492,9,26
67504,2,30
67395,9,19
67441,9,27
68200,2,5
68195,7,1674
68186,9,52
68144,4,139
68160,3,95
69085,4,191
69086,6,118
68317,1,15
68301,3,179
68235,9,114
68313,1,6
69141,5,721
69220,6,169
69171,3,310
69181,4,32
69199,6,2597
67473,6,135
67444,5,20
67408,2,41
68027,6,21
68023,4,157
67537,5,88
67500,7,303
68059,2,41
68118,7,1088
68345,4,139
68354,5,65
68345,1,5
68223,2,71
68209,5,121
68223,6,147
68204,1,10
68197,4,69
69098,3,27
69063,3,848
69112,4,824
69085,2,80
69103,4,92
69051,5,143
68252,5,230
68254,7,186
68262,6,110
68231,9,223
68234,7,104
69188,4,98
69172,4,91
69143,4,1140
69215,4,110
69174,9,31
67464,1,6
67385,9,24
67424,6,33
67418,4,255
67384,6,38
67537,7,101
67493,9,24
68028,2,61
67530,2,16
68054,6,31
68114,5,18
68063,1,14
68110,1,10
68066,6,8192
68041,9,188
68328,7,89
68344,3,11
68341,4,161
68376,2,324
68360,7,99
69018,3,66
68344,4,46
69001,6,35
69030,1,16
68200,7,126
68201,2,85
68209,3,68
68167,5,66
68255,9,99
68247,6,236
68274,4,52
68317,6,239
68243,2,5
69140,3,333
69198,1,31
69132,1,35
69181,3,11
69104,5,40
67392,5,102
67481,6,165
67391,2,6
68010,4,247
67546,7,144
67517,2,16
68334,5,900
69028,9,732
68324,6,45
68174,5,242
68203,3,114
68141,6,171
68203,4,239
68181,3,15
68041,2,46
68124,3,21
68095,3,137
68056,9,1129
68116,7,185
69180,9,12
69167,9,46
69136,2,152
69143,9,739
69189,3,234
69061,5,85
69091,2,456
69065,4,153
68227,4,246
68237,6,60
68225,4,201
68253,6,247
68296,7,341
67433,6,211
67417,7,97
67421,9,117
67475,4,47
67545,1,26
68013,6,89
69002,2,6
68361,7,91
68359,5,147
69028,6,361
68384,4,307
69021,5,261
69010,2,155
68353,3,30
69122,2,137
69202,6,952
69182,2,35
69219,4,356
68012,2,51
68006,2,36
67528,2,10
68139,2,30
68160,7,135
68178,5,162
68140,6,146
68156,1,5
67445,5,355
67435,1,11
67429,9,61
67385,3,14
67405,3,192
67474,3,185
68054,5,46
68265,3,127
68307,9,75
68273,1,21
68245,1,5
68238,3,73
69136,6,182
69175,1,21
69160,3,50
69173,2,59
69047,4,79
69111,6,79
69093,2,40
69044,7,1432
69019,9,1490
68358,4,86
69010,6,704
69001,7,54
68358,3,10
68344,7,107
68373,3,10
68349,9,342
68024,7,70
68022,2,76
67514,2,25
67525,7,405
67495,1,21
68154,9,1998
68193,5,126
68179,2,21
68155,3,295
67468,7,171
67450,3,40
67464,9,105
67392,3,26
67436,1,15
68086,9,22
68121,3,121
68073,5,58
68294,1,10
68262,4,84
68303,7,30
68307,4,34
